loan_id,status,dependants,loan_usage
bb08b55c1f,loan,0,Otros
f23fd22961,paid,2,Educacion
b723773be8,paid,0,Educacion
726c7712e0,paid,0,Educacion
8151753f45,paid,0,Educacion
d45e838779,paid,0,Educacion
8e929da5e9,paid,1,Inversion
910d27f041,paid,2,Educacion
e40dc97aae,paid,0,Inversion
8ddfaa001b,paid,1,Educacion
6c659b1648,loan,0,Otros
0f8cf618c2,loan,0,Otros
8bcc58faf2,loan,1,Educacion
b64ebed840,paid,1,Otros
ca31af61c8,paid,1,Inversion
9bd14bad4d,loan,0,Personal
9b8abfd22d,loan,0,Inversion
f9dfde3a68,paid,2,Educacion
82cb85fcf9,paid,1,Personal
e9e9a816aa,paid,0,Personal
3b3276f460,paid,0,Educacion
535e7b22e2,paid,1,Educacion
efbf1aec4e,paid,0,Otros
fd7155a299,paid,2,Educacion
4739afc2dc,loan,3,Inversion
2664216689,paid,0,Educacion
99c7962ff9,paid,0,Otros
023a8fa754,paid,1,Educacion
3b62a78655,paid,0,Educacion
910789600e,paid,1,Inversion
8bd39fdb22,loan,0,Otros
14a2cd95ff,loan,0,Otros
c24686441f,paid,1,Educacion
d7e273e937,paid,0,Otros
d5dfc55fcd,paid,1,Personal
18e9a4fc95,loan,2,Inversion
d6bd1d3679,loan,1,Personal
0c832c1a0c,paid,0,Otros
0a15a3c715,paid,1,Personal
9f58e58ef8,paid,3,Educacion
2b1b32bb05,paid,0,Otros
1afb75c398,paid,0,Otros
7eec836ada,paid,0,Personal
6bfb187a1b,paid,0,Inversion
2362ad2dd4,loan,3,Otros
3c4865d27d,paid,3,Inversion
4043398c88,paid,0,Otros
6148a9b83d,paid,0,Personal
1624f89528,loan,0,Inversion
6c6c7b7e5d,paid,3,Educacion
71288fffd1,paid,0,Otros
275407e8c9,paid,0,Otros
cf3be60f62,loan,1,Otros
b0ffd0d733,paid,3,Inversion
3301065772,paid,0,Educacion
b91a99384a,paid,1,Personal
1517ff71d0,paid,0,Inversion
3cfb9a5283,paid,0,Inversion
18d27f69fd,paid,0,Otros
1123bc0de9,paid,0,Otros
551f8308a6,paid,1,Inversion
426bdccbd2,paid,0,Otros
a49499f295,loan,0,Otros
d3c373ca69,paid,0,Inversion
eff2833f69,loan,0,Personal
4323c664b7,loan,2,Otros
fa7ce4b25d,paid,1,Otros
29192c5c95,paid,1,Educacion
21dc9f6efd,paid,1,Personal
7546fe409d,paid,0,Educacion
929153a96a,loan,1,Otros
39cf1a29f6,paid,1,Inversion
93fa0c5b15,loan,0,Educacion
995690ccb9,loan,1,Inversion
b4308d4897,paid,0,Personal
06e510a176,paid,0,Otros
14fdeea936,paid,1,Otros
34649bdb05,loan,0,Inversion
1fb8f6db29,paid,0,Inversion
a91c723006,paid,0,Inversion
eac8758b62,paid,3,Inversion
80c0a5b6c5,paid,0,Otros
5cada52336,paid,1,Otros
099ec1214f,paid,0,Otros
337b234f1d,paid,3,Otros
5625cbf5ad,paid,1,Otros
0dfe9e400f,paid,0,Inversion
743293373b,loan,1,Otros
c4c0bb0cea,loan,2,Otros
3e59caa663,loan,1,Otros
414e4338cf,paid,0,Personal
3a845dc5a2,paid,1,Otros
7b72668fdd,paid,0,Inversion
1293f95ec8,paid,3,Otros
c6d35fdfc3,paid,0,Otros
db9f8b29da,paid,3,Educacion
0294ed6685,paid,0,Educacion
bea02af303,paid,0,Personal
c8395c8b73,paid,1,Inversion
6c4b182ae3,loan,0,Personal
973bb09af0,loan,1,Otros
b0b03308ee,paid,1,Otros
c860f7e99e,paid,0,Otros
dc3718f23a,loan,0,Inversion
ff16d966b1,paid,2,Inversion
04350204d6,paid,1,Inversion
9378b6221e,paid,1,Otros
97bbae9857,loan,3,Inversion
c996bf83ff,paid,2,Otros
0bd5a2a58d,paid,3,Inversion
21afacbe6c,paid,0,Inversion
2fb8f0148a,paid,1,Otros
5ebc0a16ce,paid,3,Educacion
66bd20ad21,paid,0,Otros
945927fcbc,paid,1,Otros
